location_id,location_name,measurement_count,unique_sensors,avg_frequency_hours,min_frequency_hours,max_frequency_hours
0,Unnamed: 0,13299,1,0.6564144984208151,0.25,751.75
1,"Loni, Ghaziabad - UPPCB",3999,1,2.1826538269134566,0.25,752.0
2,"Shadipur, Delhi - CPCB",5838,1,1.495074524584547,0.25,752.5
3,"NSIT Dwarka, Delhi - CPCB",5629,1,1.5499733475479744,0.25,752.25
4,"DTU, New Delhi - CPCB",5880,1,1.4842660316380336,0.25,752.25
5,"IHBAS, Dilshad Garden,New Delhi - CPCB",5271,1,1.6558823529411764,0.25,752.5
6,"Vasundhara, Ghaziabad - UPPCB",5775,1,1.5116037409075165,0.25,752.25
7,"MD University, Rohtak - HSPCB",5345,1,1.6324850299401197,0.25,756.0
8,"Sector-51, Gurugram - HSPCB",4665,1,1.8694789879931388,0.25,752.0
9,"Chandni Chowk, Delhi - IITM",4273,1,2.0418422284644193,0.25,918.75
10,"Mini Secretariat, Charkhi Dadri - HSPCB",4639,1,1.8809831824062095,0.25,752.0
11,"Teri Gram, Gurugram - HSPCB",4682,1,1.8637043366801966,0.25,752.0
12,"Alipur, Delhi - DPCC",3815,1,2.2869035133717883,0.25,795.75
13,"Sanjay Palace, Agra - UPPCB",3941,1,2.2135786802030455,0.25,752.0
14,"H.B. Colony, Bhiwani - HSPCB",3757,1,2.321818423855165,0.25,751.75
15,"Bawana, Delhi - DPCC",4109,1,2.1234177215189876,0.25,755.75
16,"Sanjay Nagar, Ghaziabad - UPPCB",4224,1,2.06517878285579,0.25,752.0
17,"Nathu Colony, Ballabgarh - HSPCB",4409,1,1.978901996370236,0.25,752.0
18,"Dr. Karni Singh Shooting Range, Delhi - DPCC",3971,1,2.1970403022670024,0.25,755.75
19,"Knowledge Park - III, Greater Noida - UPPCB",3675,1,2.3685356559608057,0.25,755.75
20,"Okhla Phase-2, Delhi - DPCC",4055,1,2.140046867291564,0.25,756.0
21,"Vivek Vihar, Delhi - DPCC",3434,1,2.5248325080104865,0.25,815.0
22,"Jawaharlal Nehru Stadium, Delhi - DPCC",4092,1,2.114275238328037,0.25,755.75
23,"Rohini, Delhi - DPCC",3932,1,2.200330704655304,0.25,922.5
24,"Sector-3B Avas Vikas Colony, Agra - UPPCB",3231,1,1.493343653250774,0.25,755.5
25,"Shastripuram, Agra - UPPCB",3075,1,1.5050422901756668,0.25,752.0
