name,coordinates,sensors,latitude,longitude
"R K Puram, Delhi - DPCC","{'latitude': 28.563262, 'longitude': 77.186937}","[{'id': 392, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12234782, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 12234783, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 12234784, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 36, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 14340713, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12234785, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 394, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12234786, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 399, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 35, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12234787, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12234788, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12234789, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 393, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12234790, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340714, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340715, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",28.563262,77.186937
"Punjabi Bagh, Delhi - DPCC","{'latitude': 28.674045, 'longitude': 77.131023}","[{'id': 12234791, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 398, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12234792, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 12234793, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 400, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 14340716, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 71, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12234794, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12234795, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 395, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12234796, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 396, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12234797, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12234798, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 397, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12234799, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340717, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340718, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",28.674045,77.131023
"Anand Vihar, New Delhi - DPCC","{'latitude': 28.646835, 'longitude': 77.316032}","[{'id': 12235605, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 385, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235606, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 382, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 12235607, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14340864, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12235608, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 380, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12235609, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 381, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235610, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 384, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235611, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12235612, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 383, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235613, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340865, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340866, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",28.646835,77.316032
"Vikas Sadan, Gurugram - HSPCB","{'latitude': 28.4501238, 'longitude': 77.0263051}","[{'id': 14258983, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 5396, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 14258984, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 5409, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 14258985, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14341789, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 5407, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 14258986, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 506, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 14258987, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 1166, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 14258988, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 14258989, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 14258990, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 5405, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 14258991, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14341790, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14341791, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",28.4501238,77.0263051
"Zoo Park, Hyderabad - TSPCB","{'latitude': 17.349694, 'longitude': 78.451437}","[{'id': 12235578, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 710, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235579, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 12235580, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 712, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 14340861, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12235581, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 711, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 715, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235582, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235583, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 714, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235584, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 713, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235585, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 12235586, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340862, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340863, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",17.349694,78.451437
"Sanjay Palace, Agra - UPPCB","{'latitude': 27.19865833, 'longitude': 78.00598056}","[{'id': 12235657, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 1546, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235658, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 15024, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 12235659, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14340873, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 1544, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12235660, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 1342956, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235661, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235662, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 1545, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235663, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12235664, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 14322, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235665, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340874, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340875, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",27.19865833,78.00598056
"Talkatora District Industries Center, Lucknow - CPCB","{'latitude': 26.83399722, 'longitude': 80.8917361}","[{'id': 12235569, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 4712, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235570, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 5231, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 12235571, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14341863, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12235572, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 36695, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12235573, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 36696, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 14237, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235574, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235575, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12235576, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 14238, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235577, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14341864, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14341865, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",26.83399722,80.8917361
"Manali, Chennai - CPCB","{'latitude': 13.164544, 'longitude': 80.26285}","[{'id': 5339, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235648, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 12235649, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 12235650, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 5340, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 14340870, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 1305375, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12235651, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 1305374, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235652, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235653, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 14319, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235654, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12235655, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 14311, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235656, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340871, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340872, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",13.164544,80.26285
"Secretariat, Amaravati - APPCB","{'latitude': 16.5150833, 'longitude': 80.5181667}","[{'id': 12234943, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 12234944, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 12234945, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14340731, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12234946, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 12234947, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12234948, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12234949, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12234950, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 12234951, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14340732, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14340733, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",16.5150833,80.5181667
"Civil Line, Jalandhar - PPCB","{'latitude': 31.321907, 'longitude': 75.578914}","[{'id': 15124, 'name': 'co µg/m³', 'parameter': {'id': 4, 'name': 'co', 'units': 'µg/m³', 'display_name': 'CO mass'}}, {'id': 12235146, 'name': 'co ppb', 'parameter': {'id': 102, 'name': 'co', 'units': 'ppb', 'display_name': 'CO'}}, {'id': 12235147, 'name': 'no ppb', 'parameter': {'id': 24, 'name': 'no', 'units': 'ppb', 'display_name': 'NO'}}, {'id': 15133, 'name': 'no2 µg/m³', 'parameter': {'id': 5, 'name': 'no2', 'units': 'µg/m³', 'display_name': 'NO₂ mass'}}, {'id': 12235148, 'name': 'no2 ppb', 'parameter': {'id': 15, 'name': 'no2', 'units': 'ppb', 'display_name': 'NO₂'}}, {'id': 14341780, 'name': 'nox ppb', 'parameter': {'id': 23, 'name': 'nox', 'units': 'ppb', 'display_name': 'NOX'}}, {'id': 12235149, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 15150, 'name': 'o3 µg/m³', 'parameter': {'id': 3, 'name': 'o3', 'units': 'µg/m³', 'display_name': 'O₃ mass'}}, {'id': 15187, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 12235150, 'name': 'pm10 µg/m³', 'parameter': {'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'display_name': 'PM10'}}, {'id': 15192, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235151, 'name': 'pm25 µg/m³', 'parameter': {'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'display_name': 'PM2.5'}}, {'id': 12235152, 'name': 'relativehumidity %', 'parameter': {'id': 98, 'name': 'relativehumidity', 'units': '%', 'display_name': 'RH'}}, {'id': 12235153, 'name': 'so2 ppb', 'parameter': {'id': 101, 'name': 'so2', 'units': 'ppb', 'display_name': 'SO₂'}}, {'id': 14623, 'name': 'so2 µg/m³', 'parameter': {'id': 6, 'name': 'so2', 'units': 'µg/m³', 'display_name': 'SO₂ mass'}}, {'id': 12235154, 'name': 'temperature c', 'parameter': {'id': 100, 'name': 'temperature', 'units': 'c', 'display_name': 'Temperature (C)'}}, {'id': 14341781, 'name': 'wind_direction deg', 'parameter': {'id': 22, 'name': 'wind_direction', 'units': 'deg', 'display_name': 'Wind direction'}}, {'id': 14341782, 'name': 'wind_speed m/s', 'parameter': {'id': 34, 'name': 'wind_speed', 'units': 'm/s', 'display_name': 'Wind speed'}}]",31.321907,75.578914
